#ORDER_ID|ORDER_DATE|STATUS|QUANTITY|PRICE|DISCOUNT|Q1_sales|Q2_sales|Q3_sales|Q4_sales
1001|"11/17/2021 00:00:00"|"Pending"|512|5698.00|4|0|0|0|0
1002|"02/20/2021 00:00:00"|"Pending"|253|4896.00|6|0|0|0|0
1003|"02/20/2021 00:00:00"|"Pending"|415|4094.00|8|0|0|0|0
1004|"10/15/2021 00:00:00"|"Pending"|214|3292.00|9|0|0|0|0
1005|"02/20/2021 00:00:00"|"Canceled"|548|2490.00|11|0|0|0|0
1006|"08/15/2021 00:00:00"|"Canceled"|142|1688.00|13|0|0|0|0
1007|"08/15/2021 00:00:00"|"Canceled"|652|20212.00|15|0|0|0|0
1008|"08/15/2021 00:00:00"|"Shipped"|114|2336.00|12|0|0|0|0
1009|"08/15/2021 00:00:00"|"Shipped"|102|2660.00|9|0|0|0|0
1010|"12/20/2021 00:00:00"|"Shipped"|365|2984.00|6|0|0|0|0
1011|"12/20/2021 00:00:00"|"Shipped"|248|3308.00|3|0|0|0|0
1012|"08/16/2021 00:00:00"|"Shipped"|548|3632.00|5|0|0|0|0
1013|"08/16/2021 00:00:00"|"Shipped"|105|3956.00|7|0|0|0|0
1014|"09/29/2021 00:00:00"|"Shipped"|987|4280.00|9|0|0|0|0
1015|"12/13/2021 00:00:00"|"Shipped"|524|4604.00|11|0|0|0|0
1016|"12/13/2021 00:00:00"|"Shipped"|652|4928.00|10|0|0|0|0
1017|"10/27/2021 00:00:00"|"Shipped"|101|5252.00|8|0|0|0|0
1018|"10/27/2021 00:00:00"|"Shipped"|205|5576.00|6|0|0|0|0
1019|"12/14/2021 00:00:00"|"Shipped"|309|5900.00|4|0|0|0|0
1020|"12/13/2021 00:00:00"|"Shipped"|413|6224.00|2|0|0|0|0
1021|"04/26/2021 00:00:00"|"Shipped"|517|6548.00|5|0|0|0|0
1022|"04/26/2021 00:00:00"|"Shipped"|621|6872.00|8|0|0|0|0
1023|"04/26/2021 00:00:00"|"Shipped"|725|7196.00|11|0|0|0|0
1024|"02/15/2021 00:00:00"|"Shipped"|829|7520.00|14|0|0|0|0
1025|"02/14/2021 00:00:00"|"Shipped"|933|7844.00|17|0|0|0|0
1026|"02/14/2021 00:00:00"|"Shipped"|853|8168.00|20|0|0|0|0
1027|"01/24/2021 00:00:00"|"Pending"|773|8492.00|18|0|0|0|0
1028|"11/29/2021 00:00:00"|"Shipped"|693|8816.00|16|0|0|0|0
1029|"11/29/2021 00:00:00"|"Shipped"|613|9140.00|14|0|0|0|0
1030|"11/29/2021 00:00:00"|"Shipped"|533|9464.00|12|0|0|0|0
1031|"09/28/2021 00:00:00"|"Shipped"|453|8989.00|10|0|0|0|0
1032|"09/27/2021 00:00:00"|"Shipped"|373|8514.00|8|0|0|0|0
1033|"09/27/2021 00:00:00"|"Pending"|293|8039.00|6|0|0|0|0
1034|"09/27/2021 00:00:00"|"Shipped"|213|7564.00|4|0|0|0|0
1035|"08/16/2021 00:00:00"|"Shipped"|133|7089.00|8|0|0|0|0
1036|"05/27/2021 00:00:00"|"Shipped"|215|6614.00|12|0|0|0|0
1037|"05/27/2021 00:00:00"|"Shipped"|297|6139.00|16|0|0|0|0
1038|"05/27/2021 00:00:00"|"Pending"|379|5664.00|20|0|0|0|0
1039|"05/26/2021 00:00:00"|"Canceled"|461|5189.00|24|0|0|0|0
1040|"05/26/2021 00:00:00"|"Shipped"|543|4714.00|28|0|0|0|0
1041|"05/26/2021 00:00:00"|"Shipped"|625|4239.00|32|0|0|0|0
1042|"08/24/2021 00:00:00"|"Shipped"|707|3764.00|29|0|0|0|0
1043|"08/16/2021 00:00:00"|"Canceled"|789|3289.00|26|0|0|0|0
1044|"08/14/2021 00:00:00"|"Shipped"|871|2814.00|23|0|0|0|0
1045|"08/14/2021 00:00:00"|"Shipped"|953|2339.00|20|0|0|0|0
1046|"08/14/2021 00:00:00"|"Canceled"|821|1864.00|17|0|0|0|0
1047|"08/14/2021 00:00:00"|"Shipped"|689|1389.00|14|0|0|0|0
1048|"08/14/2021 00:00:00"|"Shipped"|557|20211.00|11|0|0|0|0
1049|"02/19/2021 00:00:00"|"Shipped"|425|2633.00|8|0|0|0|0
1050|"10/22/2021 00:00:00"|"Shipped"|293|3255.00|5|0|0|0|0
1051|"10/22/2021 00:00:00"|"Shipped"|161|3877.00|9|0|0|0|0
1052|"02/19/2021 00:00:00"|"Shipped"|2021|4499.00|13|0|0|0|0
1053|"05/31/2021 00:00:00"|"Canceled"|241|5121.00|17|0|0|0|0
1054|"10/22/2021 00:00:00"|"Shipped"|281|5743.00|21|0|0|0|0
1055|"02/20/2021 00:00:00"|"Shipped"|321|6365.00|17|0|0|0|0
1056|"02/20/2021 00:00:00"|"Canceled"|361|6987.00|13|0|0|0|0
1057|"02/20/2021 00:00:00"|"Shipped"|401|7609.00|9|0|0|0|0
1058|"02/20/2021 00:00:00"|"Pending"|441|8231.00|5|0|0|0|0
1059|"09/29/2021 00:00:00"|"Canceled"|481|8853.00|1|0|0|0|0
1060|"09/29/2021 00:00:00"|"Canceled"|521|9475.00|3|0|0|0|0
1061|"09/29/2021 00:00:00"|"Shipped"|561|8999.00|5|0|0|0|0
1062|"09/29/2021 00:00:00"|"Pending"|601|8523.00|7|0|0|0|0
1063|"09/29/2021 00:00:00"|"Shipped"|641|8047.00|9|0|0|0|0
1064|"09/29/2021 00:00:00"|"Shipped"|681|7571.00|11|0|0|0|0
1065|"09/29/2021 00:00:00"|"Shipped"|721|7095.00|13|0|0|0|0
1066|"09/29/2021 00:00:00"|"Pending"|761|6619.00|15|0|0|0|0
1067|"09/29/2021 00:00:00"|"Canceled"|801|6143.00|17|0|0|0|0
1068|"08/24/2021 00:00:00"|"Shipped"|841|5667.00|19|0|0|0|0
1069|"08/24/2021 00:00:00"|"Shipped"|881|5191.00|21|0|0|0|0
1070|"06/29/2021 00:00:00"|"Shipped"|921|4715.00|23|0|0|0|0
1071|"06/30/2021 00:00:00"|"Shipped"|899|4239.00|20|0|0|0|0
1072|"06/30/2021 00:00:00"|"Shipped"|877|3763.00|17|0|0|0|0
1073|"06/30/2021 00:00:00"|"Shipped"|855|3287.00|14|0|0|0|0
1074|"06/30/2021 00:00:00"|"Shipped"|833|2811.00|11|0|0|0|0
1075|"06/21/2021 00:00:00"|"Shipped"|811|2335.00|8|0|0|0|0
1076|"06/21/2021 00:00:00"|"Shipped"|789|1859.00|5|0|0|0|0
1077|"06/21/2021 00:00:00"|"Canceled"|767|1383.00|2|0|0|0|0
1078|"06/14/2021 00:00:00"|"Canceled"|745|20210.00|6|0|0|0|0
1079|"06/13/2021 00:00:00"|"Pending"|723|2637.00|10|0|0|0|0
1080|"03/17/2021 00:00:00"|"Canceled"|701|3264.00|14|0|0|0|0
1081|"02/21/2021 00:00:00"|"Canceled"|679|3891.00|18|0|0|0|0
1082|"02/21/2021 00:00:00"|"Shipped"|657|4518.00|22|0|0|0|0
1083|"02/17/2021 00:00:00"|"Shipped"|635|5145.00|26|0|0|0|0
1084|"02/17/2021 00:00:00"|"Shipped"|613|5772.00|23|0|0|0|0
1085|"02/21/2021 00:00:00"|"Shipped"|591|6399.00|20|0|0|0|0
1086|"02/21/2021 00:00:00"|"Shipped"|569|7026.00|17|0|0|0|0
1087|"02/21/2021 00:00:00"|"Shipped"|547|7653.00|14|0|0|0|0
1088|"02/21/2021 00:00:00"|"Shipped"|525|8280.00|11|0|0|0|0
1089|"12/14/2021 00:00:00"|"Pending"|503|8907.00|8|0|0|0|0
1090|"12/14/2021 00:00:00"|"Shipped"|481|9534.00|5|0|0|0|0
1091|"12/14/2021 00:00:00"|"Pending"|459|8993.00|6|0|0|0|0
1092|"11/30/2021 00:00:00"|"Pending"|437|8452.00|8|0|0|0|0
1093|"12/14/2021 00:00:00"|"Shipped"|415|7911.00|10|0|0|0|0
1094|"10/27/2021 00:00:00"|"Shipped"|393|7370.00|12|0|0|0|0
1095|"10/28/2021 00:00:00"|"Pending"|371|6829.00|14|0|0|0|0
1096|"10/28/2021 00:00:00"|"Pending"|349|6288.00|16|0|0|0|0
1097|"10/28/2021 00:00:00"|"Shipped"|327|5747.00|18|0|0|0|0
1098|"09/19/2021 00:00:00"|"Shipped"|305|5206.00|20|0|0|0|0
1099|"09/14/2021 00:00:00"|"Shipped"|283|4665.00|22|0|0|0|0
1100|"09/14/2021 00:00:00"|"Canceled"|261|4124.00|24|0|0|0|0
1101|"03/18/2021 00:00:00"|"Shipped"|239|3583.00|26|0|0|0|0
1102|"09/14/2021 00:00:00"|"Shipped"|217|3042.00|28|0|0|0|0
1103|"09/14/2021 00:00:00"|"Pending"|195|2501.00|30|0|0|0|0
1104|"09/14/2021 00:00:00"|"Pending"|173|1960.00|32|0|0|0|0
1105|"09/14/2021 00:00:00"|"Shipped"|151|1419.00|34|0|0|0|0
